listing_id,bed_type,bed_length
252016761,,60.3
280668782,,60.3
278810045,,60.3
279914496,,60.3
281260186,,
281503777,,
277508702,,60.3
240347276,,60.3
281175810,,60.3
255229671,,60.3
279834165,,60.3
280189553,,60.3
281379302,,
279365999,,60.3
279684608,,60.3
281290881,,
281501633,,
281256222,,
250655933,,60.3
276896852,,60.3
281158368,,60.3
277781673,,60.3
280366859,,60.3
280148235,,60.3
280598776,,60.3
280700001,,60.3
276199678,,60.3
271075764,,60.3
280452476,,60.3
277690039,,60.3
245373284,,60.3
268389082,,60.3
281147502,,60.3
250655104,,60.3
276808114,,60.3
281131132,,60.3
264872538,,60.3
276718438,,60.3
279287761,,60.3
281261770,,
281379331,,
281565471,,
279663752,,60.3
239193899,,60.3
265465345,,60.3
266878484,,60.3
266225327,,60.3
267565729,,60.3
266728732,,60.3
281610233,,60.3
281304835,,60.3
280682729,,60.3
279881430,,60.3
281379309,,
281501982,,60.3
243335161,,60.3
256978806,,60.3
255601785,,60.3
277515196,,60.3
267054042,,60.3
268897158,,60.3
279739814,,60.3
276479621,,60.3
281261738,,
281261759,,
276828804,,60.3
240658316,,60.3
279658798,,60.3
281284811,,60.3
263424934,,60.3
267590581,,60.3
267709573,,60.3
268989871,,60.3
281164470,,60.3
277900381,,60.3
279033342,,60.3
279548566,,60.3
281261742,,
277288231,,60.3
266958192,,60.3
278822234,,60.3
242934205,,60.3
277397167,,60.3
257238839,,60.3
261360430,,60.3
260804783,,60.3
266728737,,60.3
266174800,,60.3
275310297,,60.3
276733113,,60.3
278728678,,60.3
279764526,,60.3
281379328,,
277339472,,60.3
242217170,,60.3
278937445,,60.3
259006234,,60.3
264383826,,60.3
281454263,,60.3
277223525,,60.3
279282984,,60.3
281261786,,
277540582,,60.3
274011604,,60.3
251576101,,60.3
256052853,,60.3
254343377,,60.3
275332680,,60.3
259558067,,60.3
260055420,,60.3
260619915,,60.3
260804762,,60.3
281340043,,60.3
277167831,,60.3
280806836,,60.3
279344144,,60.3
255797732,,60.3
262910539,,60.3
280880042,,60.3
264577891,,60.3
274828127,,60.3
280648583,,60.3
278790874,,60.3
278914472,,60.3
281639355,,
276237954,,60.3
279197302,,60.3
281060017,,60.3
278437757,,60.3
256196675,,60.3
265285741,,60.3
260321310,,60.3
259140800,,60.3
272421849,,60.3
261130097,,60.3
265525591,,60.3
268702997,,60.3
266878478,,60.3
265723917,,60.3
273966503,,60.3
281323664,,
281261776,,
280762862,,60.3
273762830,,60.3
248670869,,60.3
264627385,,60.3
259899219,,60.3
275676109,,60.3
263000272,,60.3
270840090,,60.3
278946533,,60.3
281487269,,
277572380,,60.3
280750033,Short,60.3
243138547,,60.3
243114551,,60.3
247769720,,60.3
266958176,,60.3
256051813,,60.3
275676107,,60.3
261014482,,60.3
263614366,,60.3
264686553,,60.3
277506801,,60.3
281131131,,60.3
281245226,,60.3
281340044,,60.3
277552398,,60.3
280452465,,60.3
278255254,,60.3
280682731,,60.3
279399482,,60.3
278504133,,60.3
279664452,,60.3
276232116,,60.3
279497423,,60.3
278459514,,60.3
281180026,,60.3
279179736,,60.3
274641168,,60.3
276931462,,60.3
278914539,,60.3
281260198,,
281236271,,
280127682,,60.3
279045771,,60.3
279151745,,60.3
281631217,,60.3
278177301,,60.3
278177300,,60.3
280031069,,60.3
281236281,,
280113669,,60.3
280999478,,60.3
276808117,,60.3
279835727,,60.3
278970656,,60.3
280679255,,60.3
275431332,,60.3
275431338,,60.3
280309626,,60.3
281420384,,60.3
278923616,,60.3
279918156,,60.3
279178892,,60.3
281501635,,60.3
278326023,,60.3
281284320,,
275132763,,60.3
279774569,,60.3
280999477,,60.3
279916457,,60.3
280679253,,60.3
280039691,,60.3
278337801,,60.3
276230834,,60.3
279137161,,60.3
278516097,,60.3
278459270,,60.3
277007079,,60.3
277759794,,60.3
279191677,,60.3
277940455,,60.3
276604119,,60.3
279416182,,60.3
280999489,,60.3
278637123,,60.3
273435203,,60.3
277502003,,60.3
280999481,,60.3
279918099,,60.3
279684326,,60.3
281293344,,
281631226,,
144926592,,76.3
280947649,,76.3
276140011,,67.4
279951445,,76.3
272455468,,76.3
279770001,,76.3
277738284,,76.3
274352965,,76.3
277584760,,76.3
281442972,Short,76.3
278690301,,76.3
274238716,,76.3
277541055,,76.3
281512807,,76.3
279951495,,76.3
275267256,,76.3
279554922,Short,76.3
275977941,,76.3
281118977,,76.3
278814092,,76.3
273468639,,76.3
281580001,,76.3
280214019,,76.3
280972154,,76.3
281459984,,76.3
279268503,,67.4
272187014,,67.4
281263543,,67.4
278831672,,67.4
245253566,Short,67.4
281101222,,67.4
281092909,,67.4
281555506,,67.4
270734451,Short,67.4
281447098,,67.4
279542168,,67.4
279010002,,67.4
281655083,,67.4
280370016,,67.4
281207566,Short,67.4
271681394,,67.4
280009447,,67.4
281011954,,67.4
279311236,,67.4
281006238,,67.4
279928659,,67.4
277474566,,67.4
268218932,,
268759566,,
267983736,,
278210025,,76.3
267837315,,
267837312,,
279825756,,76.3
280880024,,76.3
276430055,Short,76.3
262205499,,
272730042,,67.4
279483670,,76.3
275426503,,76.3
280855933,,76.3
280245948,,76.3
279462998,,76.3
280830028,,76.3
280397356,,76.3
279446335,,76.3
280670029,,76.3
281246201,,67.4
276820020,,67.4
281370000,,67.4
280530053,,67.4
275815796,,67.4
280270019,Short,67.4
281390020,,76.3
278390006,,76.3
280330055,,76.3
279880936,,76.3
278020818,,76.3
279023837,,76.3
278262524,,76.3
280154675,,76.3
281415215,,76.3
280397543,,76.3
279116660,,76.3
281166682,,76.3
276665814,,76.3
278939006,Short,76.3
278290788,,76.3
278741929,,76.3
280440654,,76.3
279498701,,76.3
280696367,,76.3
279002157,,76.3
279617416,Short,76.3
280872570,,76.3
277339471,,76.3
279847715,,76.3
238666026,,76.3
279076636,,76.3
279790488,,76.3
280923814,,76.3
281223789,,76.3
275887686,,
276551765,,76.3
263872455,,
267364313,,
275705015,,
279663218,,
281262205,,76.3
279400018,,76.3
279893281,,
279739247,,76.3
280682645,,76.3
279024743,,76.3
280939328,,76.3
274897960,,76.3
279067260,,76.3
275929839,,76.3
280684006,,76.3
222725463,,76.3
244746065,,76.3
277071922,,76.3
267364312,,
278891140,Short,76.3
280258622,,76.3
276415209,,76.3
280013318,,76.3
280123891,,76.3
278187183,,76.3
278056677,,76.3
280258623,,76.3
278395195,,76.3
281443920,,76.3
278049658,,76.3
281045093,,76.3
219398817,,76.3
219398788,,76.3
280589290,,76.3
279707234,,76.3
244746158,,76.3
244746238,,76.3
281599481,Short,
274897959,,76.3
267364314,,
275215142,,
275603522,,76.3
279790184,,76.3
281497174,,76.3
281275240,,76.3
279260592,,76.3
279377288,,76.3
280315042,,76.3
279931249,,76.3
279973311,,76.3
279524154,Short,76.3
279938150,,76.3
278187176,,76.3
219398758,,76.3
280934618,,76.3
266345081,,
279121063,,76.3
279598899,,76.3
278020819,,76.3
281081014,,76.3
277090850,,76.3
278624362,,76.3
280499055,,76.3
280929893,,76.3
239919311,,76.3
222908699,,76.3
221637213,,76.3
221637220,,76.3
220045650,,76.3
281110538,,76.3
280983906,,76.3
280523071,,76.3
269936526,,76.3
260012105,,76.3
281559465,Short,76.3
280700346,,76.3
277662451,,76.3
279180460,,76.3
280562830,,76.3
280059947,,76.3
281121792,,76.3
279579167,,76.3
278198980,,76.3
277873690,,76.3
281120062,,76.3
280221239,,76.3
279495362,Short,76.3
279180452,,76.3
280799104,,76.3
222513963,,76.3
252670022,,76.3
268153892,,
278674106,,76.3
280257317,,76.3
280320351,,76.3
277097614,,76.3
281205787,,76.3
275620804,,76.3
279024741,,76.3
280123888,,76.3
275214897,,76.3
281085191,,76.3
280670190,,76.3
281060948,,76.3
278522735,,76.3
280982054,,76.3
221246832,,76.3
221986345,,76.3
281534191,,76.3
265112635,,76.3
276682229,,76.3
280688778,,76.3
277630007,,76.3
281227030,,76.3
279372342,,76.3
279377286,,76.3
280449621,,76.3
278169403,,76.3
280425158,,76.3
281427409,,76.3
281054957,,76.3
281099503,,76.3
262490021,,76.3
278187191,,76.3
279310003,,76.3
278519504,,76.3
281617071,,76.3
264627955,,76.3
280123894,,76.3
280493893,,76.3
280554201,,76.3
277176626,,76.3
277045243,,76.3
280713942,,76.3
280009666,,76.3
279159478,Short,76.3
279068417,,76.3
220639439,,76.3
222369292,,76.3
278984103,,76.3
244746221,,76.3
274082695,,
275330634,,76.3
277844211,,76.3
279180456,,76.3
278148715,,76.3
278765673,,76.3
279341541,,76.3
281141701,,76.3
280864279,,76.3
279629103,,76.3
280354262,,76.3
278148713,,76.3
279400015,,76.3
280158890,,76.3
224361655,,76.3
276962204,,76.3
280204602,,76.3
277436484,,76.3
276920366,,76.3
276809937,Short,
279031729,,
281427078,,76.3
280905228,,76.3
281120338,,76.3
277381760,,76.3
279944266,,76.3
279180441,,76.3
279487838,,76.3
281659486,,76.3
280815209,,76.3
277032349,,76.3
281659492,,76.3
280345413,,76.3
279561598,,76.3
278519505,,76.3
277494445,,76.3
280782584,,
269882198,,
277825574,,
281384901,Short,76.3
281664652,,76.3
281252769,,76.3
280118345,,76.3
280983912,,76.3
279497435,,76.3
279116655,,76.3
276161533,,76.3
279783152,,76.3
281580512,,76.3
278020815,,76.3
280713940,,76.3
280533046,,76.3
277981807,,76.3
276913652,,76.3
280841834,,76.3
279720053,,76.3
278299920,,76.3
279994092,,76.3
225377869,,76.3
273248279,,
279521909,,76.3
279984732,,
279928591,,76.3
276640518,,76.3
278918115,,76.3
276961835,,76.3
280002532,,76.3
278468220,,76.3
280016872,,76.3
280223192,,76.3
280002531,,76.3
280993488,,76.3
279658570,,76.3
281635895,,76.3
279912756,,76.3
279100119,Short,76.3
279686918,,76.3
218526992,,76.3
279791702,,76.3
269185728,,
275071686,,67.4
281351464,,76.3
281555510,,76.3
276565060,,76.3
278056553,,76.3
277856007,,76.3
280682633,,76.3
280164457,,76.3
279425821,,76.3
281556014,,76.3
279134630,,76.3
276855154,,76.3
273244649,,76.3
278704494,,76.3
280809751,,76.3
278850231,,76.3
280356733,,76.3
279090400,,76.3
279944129,,76.3
267190360,,
269421871,,
281114779,,76.3
281484752,,76.3
280820051,,76.3
274348481,,76.3
280411471,,76.3
279457106,,76.3
278187181,,76.3
280558137,,76.3
281568081,,
278833121,,76.3
279654830,,76.3
252211446,,
271054850,,
281599022,,76.3
267902162,,76.3
280653069,,76.3
280403640,,76.3
267020260,Short,
281423105,,76.3
280007457,,76.3
279377289,,76.3
280648576,,76.3
276959554,,76.3
280462134,,76.3
275056427,,76.3
276161538,,76.3
279377295,,76.3
279377293,,76.3
281653614,Short,
280421752,,76.3
281134450,,76.3
281274388,,76.3
270446460,,
269421873,,
279899333,,76.3
281050033,,76.3
278400328,,76.3
278076183,,76.3
280470979,,76.3
280986997,,76.3
280673116,,76.3
280884158,,76.3
279000927,,76.3
281518649,Short,
280123890,,76.3
281276839,,76.3
280608990,,76.3
280455868,,76.3
276018473,,76.3
280726635,,76.3
264628820,,76.3
271172699,,
280758481,,76.3
279989297,,76.3
278630655,,76.3
278605229,Short,76.3
281210021,,76.3
278329363,,76.3
277613549,,76.3
280366858,,76.3
280123896,,76.3
281612348,,76.3
278237663,,76.3
218821749,,76.3
269421874,,
280705373,,
279837670,,76.3
275121091,,76.3
276336950,,76.3
280585973,,76.3
279463065,,76.3
281080057,,76.3
279289890,,76.3
280123886,,76.3
278020817,,76.3
276267886,,76.3
281120045,,76.3
281057940,,76.3
281367920,,76.3
254686840,,76.3
271054852,,
269421875,,
280177028,,76.3
278449401,Short,76.3
280016873,,76.3
281423099,,76.3
276716975,,76.3
275375106,,76.3
280094189,,76.3
277613546,,76.3
281183853,,76.3
280682734,,76.3
281330787,Short,76.3
269185729,,
280434706,,76.3
280966455,,76.3
280226885,,76.3
281120060,,76.3
281176094,,76.3
280267262,,76.3
280533051,,
278620346,,76.3
281121778,,76.3
280123889,,76.3
279598902,,76.3
278985618,,76.3
281484760,,76.3
272132063,,76.3
281313820,,76.3
278465202,,76.3
279679506,,76.3
276710168,,76.3
219714435,,76.3
271054851,,
269882197,,
270424009,,
279325447,,76.3
263186632,,76.3
266210198,,76.3
269878209,,76.3
269876223,,76.3
272425662,,76.3
276953391,,76.3
