model_id,maximum_seating
238804665,5
238812804,5
238853045,8
238855773,5
238855865,5
238862598,5
238866065,5
238866066,5
238890968,5
238890973,7
238969267,5
238975698,5
239008716,5
239019165,5
239026199,
239038708,5
239042867,5
239042885,5
239059675,5
239093291,5
239119219,5
239145963,5
239162714,5
239181893,8
239196473,
239196476,5
239210709,7
239229616,2
239229834,5
239237364,8
239315636,5
239401915,5
239423932,8
239524156,7
239530764,5
239543164,5
239556332,5
239567311,5
239570733,7
239578862,5
239593912,12
239593913,12
239595579,8
239654049,5
239675041,8
239679453,5
239681043,5
239681519,5
239682756,12
239698221,5
239706755,5
239739741,2
239739747,2
239743751,5
239752073,5
239772427,5
239772448,5
239775314,5
239784907,5
239798524,5
239798531,5
239799696,5
239812572,7
239825334,5
239835773,8
239846701,8
239850003,
239855993,5
239856977,5
239857258,5
239860421,7
239863497,5
239870064,5
239880477,
239885331,8
239888528,8
239895350,
239895358,
239895384,12
239914202,5
239916912,5
239918115,2
239919968,15
239922904,5
239930903,7
239932896,5
239934773,
240005197,8
240025679,7
240026275,5
240030041,5
240030043,5
240036336,5
240040047,7
240040748,7
240045726,5
240060888,5
240089369,5
240102354,
240114072,8
240146293,5
240165917,5
240187533,5
240205385,2
240235751,7
240246808,15
240266022,5
240266024,5
240275017,7
240280624,
240293524,5
240319796,7
240321659,5
240321662,5
240329525,8
240339852,7
240345889,8
240351490,5
240352187,7
240387076,7
240395501,7
240395502,7
240396845,7
240420465,8
240432690,8
240443723,5
240444174,7
240452972,5
240453784,8
240469069,5
240471774,5
240487844,2
240517484,5
240527277,5
240529268,5
240534187,8
240544383,7
240556544,5
240627993,7
240632485,5
240653651,8
240657830,5
240663531,5
240700002,5
240707958,5
240712360,8
240721682,5
240723729,5
240730267,5
240731242,5
240737386,15
240749693,5
240755831,10
240757330,5
240757331,5
240768753,2
240791104,7
240811843,8
240813050,5
240827084,5
240885444,5
240907777,5
240907781,5
240950450,7
240979473,8
240979483,7
240987042,7
240988309,5
241000412,5
241000418,5
241002130,5
