listing_id,fuel_tank_volume
280144521,13
279111015,13
276262658,13
280664694,25
280984976,25
281260006,25
279271969,25
281230003,25
274519698,25
275463206,25
274168925,25
248862269,25
276320054,12
277432955,12
271803777,12
281553928,12
228529696,16
278833164,16
280393518,16
280686087,16
281073320,16
280319479,16
281032509,16
278168389,16
281588924,16
277618912,16
279295435,16
280329006,16
277697903,16
280633323,16
280240690,16
278450049,16
281092192,16
274841235,16
272397502,16
280905697,16
280750065,16
280278147,16
274059335,16
279462392,16
280844834,16
277875102,16
281007129,16
279786968,16
278225017,16
281084615,16
277774105,16
280305426,16
279828571,16
265348811,16
277700813,16
281599284,16
281093569,16
278323910,16
281300277,16
280261781,16
277404847,16
275097468,16
281565988,16
280172109,16
273994448,16
281093568,16
277468987,16
280906881,16
280259201,19
280981645,19
281073151,19
280968440,19
281555166,19
280685825,19
279654709,19
278309534,19
279480026,19
279060847,19
279786863,19
279393720,19
279770021,19
250109262,19
281446594,19
278265551,19
280847449,19
280700030,19
281653393,19
281333850,19
280176865,19
257618154,19
247932019,19
279562034,19
278988690,19
280261915,19
270989217,16
281520139,15
276757574,15
279863074,15
280465074,19
276690918,19
274236888,
281158115,16
180352882,15
269950287,15
269491948,
280133222,18
269383769,
277658881,10.5
280773353,10.5
281167631,10.5
276082604,10.5
105935360,10.5
267101487,10.5
278332678,10.5
281340032,10.5
277576313,10.5
281399027,10.5
280465064,10.5
236683237,10.5
281617070,10.5
276980237,16
275790315,15
277538248,15
278504827,
281000957,14.5
280049075,14.5
281626493,14.5
281130714,14.5
281214888,14.5
278090037,14.5
280355665,14.5
277909664,14.5
281341999,14.5
280844745,14.5
281000943,14.5
280853749,14.5
277147929,14.5
281241156,14.5
280982070,14.5
278354572,14.5
281488950,14.5
277358841,13
273982464,13
279786993,13
268706555,14
281003357,14
279653425,14.5
278910938,14.5
280594180,14
280896089,14.5
279903311,14.5
281527923,14.5
280228046,16
263056097,16
276538295,16
281269974,15
278454424,18.5
281385059,18.5
256610569,18
279928688,18
279783112,18.5
278021130,18.5
280830867,18.5
280899130,18.5
278448686,18.5
272727684,18
279039920,14
279666571,14
279838912,14.5
279462490,13
280568253,13
280188849,13
280325326,13
279564969,17.4
280439952,17.4
277680041,17.4
239324033,
266271649,14.5
271123904,11
269491911,
271276356,
177135473,
241092574,
273684251,
277526834,
278725488,11.9
278914543,11.9
281233926,11.9
281348737,11.9
280346961,11.9
281370776,11.9
279390044,11.9
232446649,11.9
254911923,11.9
277184965,11.9
280100248,11.9
280847338,11.9
281370772,11.9
222482573,11.9
275009982,11.9
276299194,11.9
280635647,11.9
279934965,11.9
267235305,11.9
253955583,11.9
281058513,11.9
280847878,11.9
278914542,11.9
278914535,11.9
278914541,11.9
278003508,11.9
281140961,11.9
278914536,11.9
279173348,11.9
279403476,11.9
281228572,11.9
277457905,11.9
280331085,11.9
229737543,11.9
236270890,11.9
236270894,11.9
281509938,11.9
279344147,11.9
278914545,11.9
280132363,13
280817619,13
278613980,13
